"","title","title_type","genre","runtime","mpaa_rating","studio","thtr_rel_year","thtr_rel_month","thtr_rel_day","dvd_rel_year","dvd_rel_month","dvd_rel_day","imdb_rating","imdb_num_votes","critics_rating","critics_score","audience_rating","audience_score","best_pic_nom","best_pic_win","best_actor_win","best_actress_win","best_dir_win","top200_box","director","actor1","actor2","actor3","actor4","actor5"
"588","Desperate Measures","Feature Film","Drama",100,"R","Sony Pictures Home Entertainment",1997,6,1,1998,5,26,6.1,13682,"Rotten",17,"Spilled",37,"no","no","no","no","no","no","Barbet Schroeder","Michael Keaton","Andy Garcia","Brian Cox","Marcia Gay Harden","Erik King"
"589","The Invasion","Feature Film","Mystery & Suspense",99,"PG-13","Warners Bros. Pictures",2007,8,17,2008,1,29,5.9,63672,"Rotten",19,"Spilled",40,"no","no","no","yes","no","no","Oliver Hirschbiegel","Nicole Kidman","Daniel Craig","Jeremy Northam","Jeffrey Wright","Jackson Bond"
"590","Eye of the Needle","Feature Film","Drama",112,"R","MGM Home Entertainment",1981,7,24,2001,5,15,7.1,6946,"Fresh",85,"Upright",72,"no","no","no","no","no","no","Richard Marquand","Donald Sutherland","Kate Nelligan","Ian Bannen","George Belbin","Stephen MacKenna"
"591","Funny Lady","Feature Film","Drama",136,"PG","Columbia Pictures",1975,3,7,2002,2,5,6.4,3584,"Rotten",38,"Spilled",55,"no","no","no","yes","no","no","Herbert Ross","Barbra Streisand","James Caan","Omar Sharif","Roddy McDowall","Ben Vereen"
"592","Capote","Feature Film","Drama",114,"R","Sony Pictures Classics",2005,9,30,2006,3,14,7.4,96787,"Certified Fresh",90,"Upright",81,"yes","no","yes","no","no","no","Bennett Miller","Philip Seymour Hoffman","Catherine Keener","Chris Cooper","Bruce Greenwood","Bob Balaban"
"593","Dead Men Don't Wear Plaid","Feature Film","Mystery & Suspense",88,"PG","Universal Pictures",1982,5,21,1999,3,16,6.8,16366,"Fresh",77,"Upright",73,"no","no","no","no","no","no","Carl Reiner","Steve Martin","Rachel Ward","Reni Santoni","Carl Reiner","George Gaynes"
"594","Tarzan","Feature Film","Drama",88,"G","Buena Vista Pictures",1999,6,16,2000,1,1,7.2,134270,"Certified Fresh",88,"Upright",74,"no","no","no","no","no","no","Chris Buck","Tony Goldwyn","Glenn Close","Minnie Driver","Rosie O'Donnell","Lance Henriksen"
"595","Cocoon: The Return","Feature Film","Drama",116,"PG","Fox",1988,11,23,2004,6,1,5.2,11657,"Rotten",36,"Spilled",35,"no","no","no","no","no","no","Daniel Petrie","Don Ameche","Wilford Brimley","Hume Cronyn","Jack Gilford","Steve Guttenberg"
"596","Death Defying Acts","Feature Film","Drama",97,"PG","Genius Productions",2008,7,11,2008,10,28,5.9,8345,"Rotten",44,"Spilled",26,"no","no","no","no","no","no","Gillian Armstrong","Guy Pearce","Catherine Zeta-Jones","Timothy Spall","Saoirse Ronan","Jack Bailey"
"597","Half Baked","Feature Film","Comedy",82,"R","Universal Pictures",1998,1,16,1998,6,30,6.7,46794,"Rotten",29,"Upright",81,"no","no","no","no","no","no","Tamra Davis","Dave Chappelle","Guillermo Diaz","Jim Breuer","Harland Williams","Rachel True"
"598","Dance of the Dead","Feature Film","Action & Adventure",87,"R","Grindhouse Entertainment",2008,3,9,2008,10,14,5.9,10087,"Fresh",80,"Spilled",52,"no","no","no","no","no","no","Gregg Bishop","Jared Kusnitz","Greyson Chadwick","Chandler Darby","Carissa Capobianco","Randy McDowell"
"599","Around the World in 80 Days","Feature Film","Action & Adventure",120,"PG","Buena Vista Pictures",2004,6,16,2004,11,2,5.8,66054,"Rotten",31,"Spilled",34,"no","no","no","no","no","yes","Frank Coraci","Jackie Chan","Steve Coogan","Ewen Bremner","Robert Fyfe","Ian McNeice"
"600","LOL","Feature Film","Comedy",97,"PG-13","Lionsgate Films",2012,5,4,2012,7,31,4.2,43574,"Rotten",17,"Spilled",51,"no","no","no","no","no","no","Liza Azuelos","Miley Cyrus","Demi Moore","Ashley Greene","Douglas Booth","Adam G. Sevani"
